['11:58:07'],[],No requests(FTP)
['11:58:07'],[],No request(Modbus)
['11:58:07'],[],No request(HTTP)
['11:58:07'],[],No request(SNMP)
['11:58:07'],[],No requests(FTP)
['12:05:46'],[],No requests(FTP)
['12:05:46'],[],No request(Modbus)
['12:05:46'],[],No request(HTTP)
['12:05:46'],[],No request(SNMP)
['12:05:46'],[],No requests(FTP)
['12:11:08'],[],No requests(FTP)
['12:11:08'],[],No request(Modbus)
['12:11:08'],[],No request(HTTP)
['12:11:08'],[],No request(SNMP)
['12:11:08'],[],No requests(FTP)
['12:12:36'],['67.207.87.192'],GET
['12:12:36'],[],No request(HTTP)
['12:12:37'],['67.207.87.192'],GET
['12:12:37'],[],No request(HTTP)
['12:12:38'],"['67.207.87.192', '67.207.87.192']",GET
['12:12:38'],[],No request(HTTP)
['12:14:17'],"['165.16.37.187', '67.207.87.192']",GET
['12:14:17'],['165.16.37.187'],No request(HTTP)
['12:15:51'],[],No request(Modbus)
['12:15:51'],[],No request(Modbus)
['12:15:51'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:15:51'],[],No request(Modbus)
['12:15:52'],[],No request(Modbus)
['12:15:52'],[],b'000200000006010300000024'
['12:15:52'],[],No request(Modbus)
['12:15:52'],[],No request(Modbus)
['12:15:56'],[],No request(Modbus)
['12:15:56'],[],No request(Modbus)
['12:15:56'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:15:56'],[],No request(Modbus)
['12:15:56'],[],No request(Modbus)
['12:15:56'],[],b'000200000006010300000024'
['12:15:56'],[],No request(Modbus)
['12:15:56'],[],No request(Modbus)
['12:15:57'],[],No request(Modbus)
['12:15:57'],[],No request(Modbus)
['12:15:57'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:15:57'],[],No request(Modbus)
['12:15:57'],[],No request(Modbus)
['12:15:57'],[],b'000200000006010300000024'
['12:15:57'],[],No request(Modbus)
['12:15:58'],[],No request(Modbus)
['12:15:58'],[],No request(Modbus)
['12:15:58'],[],No request(Modbus)
